original_filename,extracted_title,title_source,new_filename,status,error
25-ciss copy.pdf,25% Capital Investment Subsidy Scheme,largest-font,25% Capital Investment Subsidy Scheme.pdf,planned,
25-ciss.pdf,25% Capital Investment Subsidy Scheme,largest-font,25% Capital Investment Subsidy Scheme (2).pdf,planned,
40shydcs copy.pdf,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",largest-font,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme.pdf",planned,
40shydcs.pdf,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",largest-font,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme (2).pdf",planned,
a-gainer copy.pdf,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,largest-font,AICTE - Grant For Augmenting Infrastructure In North Eastern Region.pdf,planned,
a-gainer.pdf,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,largest-font,AICTE - Grant For Augmenting Infrastructure In North Eastern Region (2).pdf,planned,
a-pudu copy.pdf,ARAVANAIPPU,largest-font,ARAVANAIPPU.pdf,planned,
a-pudu.pdf,ARAVANAIPPU,largest-font,ARAVANAIPPU (2).pdf,planned,
a2ks copy.pdf,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,largest-font,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies.pdf,planned,
a2ks.pdf,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,largest-font,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies (2).pdf,planned,
aaas-assam copy.pdf,Atal Amrit Abhiyan Scheme,largest-font,Atal Amrit Abhiyan Scheme.pdf,planned,
aaas-assam.pdf,Atal Amrit Abhiyan Scheme,largest-font,Atal Amrit Abhiyan Scheme (2).pdf,planned,
aabcs copy.pdf,Annal Ambedkar Business Champions Scheme,largest-font,Annal Ambedkar Business Champions Scheme.pdf,planned,
aabcs.pdf,Annal Ambedkar Business Champions Scheme,largest-font,Annal Ambedkar Business Champions Scheme (2).pdf,planned,
aaby copy.pdf,Aam Aadmi Bima Yojana,largest-font,Aam Aadmi Bima Yojana.pdf,planned,
aaby.pdf,Aam Aadmi Bima Yojana,largest-font,Aam Aadmi Bima Yojana (2).pdf,planned,
aaelss copy.pdf,Assam Abhinandan Education Loan Subsidy Scheme,largest-font,Assam Abhinandan Education Loan Subsidy Scheme.pdf,planned,
aaelss.pdf,Assam Abhinandan Education Loan Subsidy Scheme,largest-font,Assam Abhinandan Education Loan Subsidy Scheme (2).pdf,planned,
aag copy.pdf,Aponar Apon Ghar,largest-font,Aponar Apon Ghar.pdf,planned,
aag.pdf,Aponar Apon Ghar,largest-font,Aponar Apon Ghar (2).pdf,planned,
